ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2908,21,2009-08-22,18:30,Santo Andre,Coritiba,,,,,Santo Andre,Bruno José Daniel,1,0,SP,PR,1.245,Rodrigo Nunes de Sá,0,1,Sábado
2909,21,2009-08-22,18:30,Sport,Vitoria,,,,,Sport,Ilha do Retiro,2,0,PE,BA,17.064,Gutemberg de Paula Fonseca,0,0,Sábado
2910,21,2009-08-23,16:00,Corinthians,Botafogo-RJ,,,,,-, Pacaembu,3,3,SP,RJ,17.452,Arilson Bispo da Anunciação,0,0,Domingo
2911,21,2009-08-23,16:00,Athletico-PR,Sao Paulo,,,,,Athletico-PR, Arena da Baixada,1,0,PR,SP,22.999,Marcelo de Lima Henrique,0,0,Domingo
2912,21,2009-08-23,16:00,Gremio,Atletico-MG,,,,,Gremio, Olímpico,4,1,RS,MG,19.213,Wilson Souza de Mendonça,0,0,Domingo
2913,21,2009-08-23,16:00,Fluminense,Barueri,,,,,-, Maracanã,0,0,RJ,SP,9.226,Paulo Henrique Bezerra,0,0,Domingo
2914,21,2009-08-23,18:30,Goias,Santos,,,,,Goias, Serra Dourada,2,1,GO,SP,12.328,Heber Roberto Lopes,1,0,Domingo
2915,21,2009-08-23,18:30,Cruzeiro,Nautico,,,,,Cruzeiro, Mineirão,4,2,MG,PE,14.708,Pablo dos Santos Alves,0,0,Domingo
2916,21,2009-08-23,18:30,Avai,Flamengo,,,,,Avai,  Ressacada,3,0,SC,RJ,14.777,Luiz Flávio de Oliveira,0,1,Domingo
2866,16,2009-08-26,21:00,Santos,Internacional,,,,,-, Vila Belmiro,3,3,SP,RS,7.876,Luís Antônio Silva Santos,1,2,Quarta-feira
2917,22,2009-08-26,21:50,Barueri,Corinthians,,,,,-,Arena Barueri,2,2,SP,SP,9.665,Sálvio Spínola Fagundes Filho,1,0,Quarta-feira
2816,11,2009-08-27,21:00,Botafogo-RJ,Cruzeiro,,,,,-,Engenhão,1,1,RJ,MG,6.472,Heber Roberto Lopes,1,0,Quinta-feira
2918,22,2009-08-29,18:30,Coritiba,Avai,,,,,Coritiba, Couto Pereira,2,0,PR,SC,16.272,Sálvio Spínola,0,0,Sábado
2919,22,2009-08-29,18:30,Flamengo,Santo Andre,,,,,Flamengo, Maracanã,3,0,RJ,SP,13.531,Wilton Pereira Sampaio,0,0,Sábado
2920,22,2009-08-29,18:30,Nautico,Athletico-PR,,,,,Nautico,Aflitos,3,0,PE,PR,14.099,Alicio Pena Júnior,0,0,Sábado
2921,22,2009-08-30,16:00,Sao Paulo,Palmeiras,,,,,-, Morumbi,0,0,SP,SP,41.083,Heber Roberto Lopes,0,0,Domingo
2922,22,2009-08-30,16:00,Santos,Fluminense,,,,,Santos, Vila Belmiro,2,0,SP,RJ,9.705,Evandro Roman,0,0,Domingo
2923,22,2009-08-30,16:00,Atletico-MG,Sport,,,,,-, Mineirão,1,1,MG,PE,19.783,Paulo César Oliveira,0,0,Domingo
2924,22,2009-08-30,18:30,Vitoria,Cruzeiro,,,,,-, Barradão,3,3,BA,MG,7.388,Marcelo de Lima Henrique,0,1,Domingo
2925,22,2009-08-30,18:30,Internacional,Goias,,,,,Internacional, Beira Rio,4,0,RS,GO,25.820,Ricardo Martins Ribeiro,0,1,Domingo
2926,22,2009-08-30,18:30,Botafogo-RJ,Gremio,,,,,-,Engenhão,3,3,RJ,RS,10.031,Rodrigo Martins Cintra,0,0,Domingo
2876,17,2009-09-02,21:00,Internacional,Atletico-MG,,,,,Internacional, Beira Rio,3,0,RS,MG,20.250,Francisco Carlos Nascimento,0,0,Quarta-feira
2927,23,2009-09-02,21:50,Corinthians,Santos,,,,,Corinthians, Pacaembu,2,1,SP,SP,25.645,Guilherme Cereta de Lima,0,0,Quarta-feira
2928,23,2009-09-05,18:30,Palmeiras,Barueri,,,,,Palmeiras,Palestra Itália,2,1,SP,SP,23.357,Cléber Wellington Abade,0,0,Sábado
2929,23,2009-09-05,18:30,Gremio,Vitoria,,,,,-, Olímpico,1,1,RS,BA,17.653,Elmo Resende Cunha,0,1,Sábado
2930,23,2009-09-05,18:30,Sport,Botafogo-RJ,,,,,Sport,Ilha do Retiro,2,1,PE,RJ,23.601,Sálvio Spínola,0,0,Sábado
2931,23,2009-09-06,16:00,Athletico-PR,Flamengo,,,,,-, Arena da Baixada,0,0,PR,RJ,16.970,Leandro Vuaden,0,1,Domingo
2932,23,2009-09-06,16:00,Cruzeiro,Sao Paulo,,,,,Sao Paulo, Mineirão,1,2,MG,SP,27.953,Luis Antonio Silva Santos,0,0,Domingo
2933,23,2009-09-06,16:00,Goias,Coritiba,,,,,-, Serra Dourada,2,2,GO,PR,5.212,Paulo Henrique Bezerra,1,0,Domingo
2934,23,2009-09-06,18:30,Avai,Internacional,,,,,Internacional,  Ressacada,0,2,SC,RS,14.520,Wallace Nascimento Valente,0,2,Domingo
2935,23,2009-09-06,18:30,Fluminense,Nautico,,,,,-, Maracanã,1,1,RJ,PE,20.887,Sandro Meira Ricci,0,0,Domingo
