ID,rodada,data,hora,mandante,visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2795,9,2009-07-05,18:30,Nautico,Internacional,Internacional,Aflitos,0,2,PE,RS,10000,Marcelo de Lima Henrique,1,0,Domingo
2796,9,2009-07-08,21:50,Corinthians,Fluminense,Corinthians, Pacaembu,4,2,SP,RJ,27329,Heber Roberto Lopes,0,1,Quarta-feira
2798,10,2009-07-11,16:00,Barueri,Coritiba,Barueri,Arena Barueri,3,1,SP,PR,1114,André Luiz Castro,0,0,Sábado
2797,10,2009-07-11,18:30,Avai,Botafogo-RJ,Botafogo-RJ,  Ressacada,1,2,SC,RJ,5912,Wilson Luiz Seneme,0,0,Sábado
2799,10,2009-07-11,18:30,Palmeiras,Nautico,Palmeiras,Palestra Itália,4,1,SP,PE,7800,Wagner Tardelli,0,0,Sábado
2800,10,2009-07-12,16:00,Cruzeiro,Atletico-MG,Atletico-MG, Mineirão,0,3,MG,MG,22583,Paulo César Oliveira,1,0,Domingo
2801,10,2009-07-12,16:00,Athletico-PR,Internacional,Athletico-PR, Arena da Baixada,3,2,PR,RS,16747,Sandro Ricci,0,0,Domingo
2802,10,2009-07-12,16:00,Gremio,Corinthians,Gremio, Olímpico,3,0,RS,SP,33688,Francisco Carlos Nascimento,0,1,Domingo
2803,10,2009-07-12,16:00,Sao Paulo,Flamengo,Empate, Morumbi,2,2,SP,RJ,21648,Ricardo Marques Ribeiro,1,0,Domingo
2804,10,2009-07-12,18:30,Vitoria,Santos,Vitoria, Barradão,6,2,BA,SP,17000,Pablo dos Santos Alves,0,0,Domingo
2805,10,2009-07-12,18:30,Sport,Goias,Sport,Ilha do Retiro,1,0,PE,GO,16645,Leandro Vuaden,0,0,Domingo
2806,10,2009-07-12,18:30,Fluminense,Santo Andre,Santo Andre, Maracanã,0,1,RJ,SP,4818,Wallace Valence,0,0,Domingo
2807,11,2009-07-15,19:30,Goias,Avai,Avai, Serra Dourada,0,2,GO,SC,3609,Heber Roberto Lopes,0,0,Quarta-feira
2808,11,2009-07-15,19:30,Coritiba,Gremio,Coritiba, Couto Pereira,2,1,PR,RS,16403,Gutemberg de Paula Fonseca,0,1,Quarta-feira
2809,11,2009-07-15,21:00,Santos,Barueri,Empate, Vila Belmiro,3,3,SP,SP,3524,Guilherme Cereta de Lima,0,1,Quarta-feira
2810,11,2009-07-15,21:00,Santo Andre,Athletico-PR,Santo Andre,Bruno José Daniel,1,0,SP,PR,1294,Célio Amorim,0,0,Quarta-feira
2811,11,2009-07-15,21:50,Flamengo,Palmeiras,Palmeiras, Maracanã,1,2,RJ,SP,22861,Leandro Vuaden,0,0,Quarta-feira
2812,11,2009-07-15,21:50,Internacional,Fluminense,Internacional, Beira Rio,4,2,RS,RJ,6346,Evandro Roman,2,2,Quarta-feira
2813,11,2009-07-16,21:00,Atletico-MG,Sao Paulo,Atletico-MG, Mineirão,2,0,MG,SP,54184,Leonardo Gaciba,0,0,Quinta-feira
2814,11,2009-07-16,21:00,Corinthians,Sport,Corinthians, Pacaembu,4,3,SP,PE,22756,Carlos Eugenio Simon,0,1,Quinta-feira
2815,11,2009-07-16,21:00,Nautico,Vitoria,Empate,Aflitos,1,1,PE,BA,13178,Paulo César Olivera,0,1,Quinta-feira
